,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.947,1.614,0.007,2.512,0.043,0.03,1258.0,914.0,1.01
b_shrinkage[1],0.297,0.582,0.0,1.122,0.014,0.01,1890.0,1222.0,1.0
fixed_b[0],6.071,2.465,1.404,11.141,0.113,0.08,574.0,300.0,1.01
fixed_b[1],-0.173,0.088,-0.33,0.01,0.003,0.002,737.0,701.0,1.0
ls,12.534,7.064,3.653,20.011,0.633,0.468,412.0,118.0,1.02
var,5.369,5.486,0.34,14.469,0.347,0.273,607.0,349.0,1.01
nu_y,3.414,1.381,1.372,5.979,0.027,0.021,2542.0,1601.0,1.0
sigma_y,1.195,0.203,0.818,1.567,0.005,0.003,1980.0,1184.0,1.0
