,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],1.014,1.478,0.065,2.6,0.043,0.03,1987.0,1466.0,1.01
b_shrinkage[1],0.238,0.524,0.0,0.902,0.012,0.009,983.0,510.0,1.0
fixed_b[0],7.52,3.003,1.835,13.31,0.086,0.061,1232.0,1180.0,1.0
fixed_b[1],-0.045,0.142,-0.321,0.223,0.004,0.003,1335.0,1150.0,1.0
ls,2.709,0.932,1.22,4.442,0.081,0.057,137.0,233.0,1.04
var,25.561,15.769,8.244,48.174,0.665,0.495,644.0,957.0,1.0
nu_y,3.455,1.407,1.086,5.949,0.03,0.023,1963.0,1283.0,1.0
sigma_y,1.929,0.432,1.11,2.748,0.023,0.016,365.0,748.0,1.02
