,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.811,1.565,0.005,2.18,0.04,0.028,1531.0,1164.0,1.0
b_shrinkage[1],0.273,0.568,0.0,1.053,0.014,0.011,2304.0,1619.0,1.0
fixed_b[0],4.411,4.048,-2.225,11.93,0.133,0.108,972.0,796.0,1.0
fixed_b[1],-0.089,0.16,-0.417,0.18,0.006,0.005,721.0,523.0,1.0
ls,12.232,3.381,6.445,19.101,0.14,0.101,589.0,817.0,1.01
var,24.732,22.25,3.37,65.227,0.863,0.611,739.0,598.0,1.01
nu_y,2.646,1.154,0.956,4.762,0.028,0.02,1306.0,360.0,1.01
sigma_y,1.323,0.298,0.758,1.835,0.009,0.006,938.0,321.0,1.01
