,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.806,1.572,0.006,2.485,0.08,0.057,479.0,136.0,1.01
b_shrinkage[1],0.238,0.475,0.0,0.947,0.011,0.008,1464.0,1272.0,1.0
fixed_b[0],3.133,1.726,-0.545,6.295,0.124,0.088,276.0,87.0,1.02
fixed_b[1],-0.08,0.066,-0.206,0.047,0.003,0.002,591.0,711.0,1.0
ls,11.934,46.45,0.773,23.966,2.786,1.972,87.0,43.0,1.04
var,3.265,3.38,0.029,8.495,0.431,0.306,286.0,62.0,1.03
nu_y,3.02,1.308,1.11,5.621,0.041,0.029,855.0,1043.0,1.01
sigma_y,1.144,0.254,0.649,1.586,0.009,0.006,802.0,863.0,1.0
