,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.892,1.177,0.008,2.492,0.037,0.027,944.0,954.0,1.0
b_shrinkage[1],0.316,0.786,0.0,1.164,0.019,0.014,1321.0,1154.0,1.0
fixed_b[0],5.612,6.775,-6.627,18.741,0.275,0.194,608.0,905.0,1.0
fixed_b[1],0.086,0.257,-0.392,0.628,0.009,0.007,803.0,756.0,1.0
ls,9.122,3.081,4.041,14.607,0.172,0.122,314.0,550.0,1.01
var,81.918,87.176,9.39,216.752,4.182,3.01,565.0,557.0,1.01
nu_y,2.529,1.023,0.884,4.432,0.03,0.021,1061.0,889.0,1.0
sigma_y,2.723,0.599,1.599,3.833,0.02,0.014,882.0,708.0,1.0
