,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.956,1.94,0.013,2.483,0.063,0.047,1053.0,425.0,1.0
b_shrinkage[1],0.306,1.291,0.0,0.998,0.029,0.02,1153.0,520.0,1.0
fixed_b[0],6.524,3.744,-0.309,13.473,0.139,0.098,735.0,937.0,1.0
fixed_b[1],-0.153,0.131,-0.435,0.061,0.004,0.003,921.0,1121.0,1.0
ls,12.303,3.406,6.01,18.465,0.15,0.106,506.0,888.0,1.01
var,14.473,13.138,2.033,37.448,0.445,0.315,777.0,943.0,1.01
nu_y,3.094,1.333,1.003,5.452,0.035,0.024,1427.0,1507.0,1.0
sigma_y,1.717,0.338,1.037,2.326,0.009,0.006,1453.0,1073.0,1.0
