,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.708,1.128,0.005,1.974,0.031,0.022,1312.0,1106.0,1.0
b_shrinkage[1],0.269,0.696,0.0,1.03,0.016,0.011,1069.0,464.0,1.0
fixed_b[0],3.174,2.596,-1.396,7.842,0.096,0.068,743.0,1026.0,1.0
fixed_b[1],-0.05,0.089,-0.214,0.117,0.003,0.002,844.0,941.0,1.0
ls,12.781,3.737,5.659,19.321,0.157,0.111,552.0,780.0,1.0
var,8.279,7.472,0.779,21.212,0.261,0.185,1001.0,927.0,1.01
nu_y,3.432,1.427,1.299,5.984,0.03,0.021,1837.0,1637.0,1.0
sigma_y,1.134,0.204,0.753,1.492,0.005,0.003,1681.0,995.0,1.0
