,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.818,4.51,0.005,1.862,0.155,0.11,681.0,870.0,1.01
b_shrinkage[1],0.326,2.381,0.0,1.061,0.072,0.051,456.0,421.0,1.01
fixed_b[0],2.408,1.316,-0.221,4.684,0.059,0.044,519.0,432.0,1.01
fixed_b[1],-0.027,0.061,-0.142,0.087,0.003,0.002,432.0,430.0,1.01
ls,7.54,22.181,0.203,17.909,2.177,1.543,100.0,80.0,1.04
var,2.962,2.297,0.288,6.931,0.151,0.107,287.0,490.0,1.01
nu_y,2.645,1.056,1.083,4.492,0.032,0.023,1008.0,1214.0,1.0
sigma_y,0.957,0.235,0.554,1.418,0.015,0.011,223.0,345.0,1.02
