,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.932,5.575,0.009,2.098,0.179,0.127,1676.0,1260.0,1.0
b_shrinkage[1],0.244,0.494,0.0,0.876,0.012,0.009,1176.0,845.0,1.0
fixed_b[0],3.413,1.607,0.494,6.536,0.086,0.061,396.0,268.0,1.02
fixed_b[1],-0.089,0.064,-0.216,0.022,0.003,0.002,532.0,761.0,1.01
ls,12.322,43.164,0.056,39.527,6.049,4.302,18.0,57.0,1.18
var,4.322,4.294,0.051,9.663,0.238,0.168,332.0,408.0,1.03
nu_y,2.115,1.021,0.696,3.974,0.041,0.029,422.0,211.0,1.01
sigma_y,0.814,0.292,0.307,1.335,0.028,0.02,103.0,223.0,1.03
