,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.754,1.703,0.006,1.946,0.044,0.031,1603.0,987.0,1.0
b_shrinkage[1],0.297,1.219,0.0,1.046,0.028,0.02,1755.0,1339.0,1.0
fixed_b[0],4.022,2.149,-0.143,8.038,0.075,0.053,855.0,899.0,1.01
fixed_b[1],-0.096,0.077,-0.234,0.055,0.003,0.002,728.0,1090.0,1.0
ls,16.216,11.029,2.084,31.034,0.398,0.282,508.0,363.0,1.0
var,6.099,8.933,0.318,15.785,0.378,0.338,846.0,865.0,1.0
nu_y,3.193,1.493,1.017,6.001,0.031,0.022,1745.0,1381.0,1.0
sigma_y,1.656,0.355,1.015,2.319,0.009,0.006,1584.0,1140.0,1.0
