,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.678,1.392,0.008,1.756,0.039,0.027,924.0,695.0,1.0
b_shrinkage[1],0.263,0.68,0.0,1.028,0.018,0.013,1085.0,1580.0,1.0
fixed_b[0],3.506,2.257,-0.773,7.808,0.127,0.09,319.0,503.0,1.01
fixed_b[1],-0.061,0.071,-0.193,0.068,0.004,0.003,404.0,506.0,1.01
ls,17.278,14.904,2.137,33.502,0.627,0.444,338.0,397.0,1.01
var,5.095,5.164,0.368,14.342,0.223,0.157,558.0,916.0,1.02
nu_y,4.068,1.542,1.647,6.985,0.045,0.032,1190.0,901.0,1.0
sigma_y,1.506,0.24,1.093,1.971,0.006,0.004,1400.0,1154.0,1.0
