,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.938,1.766,0.008,2.384,0.048,0.034,1507.0,926.0,1.0
b_shrinkage[1],0.297,0.636,0.0,1.073,0.016,0.011,2051.0,1617.0,1.0
fixed_b[0],5.984,3.248,-0.283,12.058,0.132,0.108,689.0,622.0,1.0
fixed_b[1],-0.192,0.101,-0.388,-0.007,0.004,0.003,519.0,978.0,1.01
ls,21.063,13.713,2.586,46.307,0.707,0.5,254.0,328.0,1.02
var,9.859,10.035,0.228,28.229,0.382,0.27,805.0,923.0,1.0
nu_y,3.985,1.637,1.356,6.84,0.03,0.023,2808.0,1575.0,1.0
sigma_y,1.718,0.28,1.189,2.231,0.006,0.004,2249.0,1194.0,1.0
