,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],1.401,1.974,0.012,3.665,0.052,0.037,1413.0,786.0,1.0
b_shrinkage[1],0.376,0.832,0.0,1.301,0.022,0.016,2153.0,1201.0,1.0
fixed_b[0],13.404,7.506,-2.21,25.953,0.243,0.176,971.0,860.0,1.01
fixed_b[1],-0.371,0.221,-0.758,0.06,0.007,0.005,1106.0,1284.0,1.0
ls,14.597,3.594,8.133,21.605,0.148,0.104,588.0,759.0,1.01
var,61.631,56.907,8.9,148.797,2.062,1.458,914.0,933.0,1.0
nu_y,3.512,1.425,1.338,6.31,0.028,0.021,2507.0,1291.0,1.0
sigma_y,1.966,0.337,1.367,2.602,0.007,0.005,2119.0,1164.0,1.0
