,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.99,1.5,0.009,2.658,0.045,0.032,1330.0,718.0,1.0
b_shrinkage[1],0.394,2.172,0.0,1.222,0.054,0.038,2061.0,1449.0,1.0
fixed_b[0],6.917,3.586,-0.666,13.02,0.123,0.087,885.0,706.0,1.0
fixed_b[1],-0.15,0.13,-0.389,0.095,0.004,0.003,870.0,988.0,1.0
ls,9.79,4.739,3.044,18.609,0.324,0.23,202.0,550.0,1.01
var,15.542,12.367,2.625,36.112,0.444,0.314,900.0,869.0,1.0
nu_y,3.152,1.264,1.313,5.672,0.028,0.021,2091.0,1595.0,1.0
sigma_y,1.921,0.362,1.293,2.636,0.011,0.008,1026.0,1269.0,1.0
