,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.991,2.52,0.004,2.528,0.068,0.048,1145.0,898.0,1.0
b_shrinkage[1],0.321,0.706,0.0,1.246,0.019,0.014,1225.0,924.0,1.0
fixed_b[0],6.074,2.518,1.132,10.474,0.118,0.083,482.0,614.0,1.0
fixed_b[1],-0.205,0.132,-0.452,0.038,0.006,0.005,434.0,572.0,1.01
ls,5.893,1.576,2.691,8.591,0.127,0.09,134.0,297.0,1.04
var,7.487,6.813,1.098,17.166,0.3,0.213,606.0,600.0,1.01
nu_y,1.28,0.386,0.63,1.966,0.011,0.008,1029.0,1067.0,1.0
sigma_y,0.87,0.262,0.387,1.336,0.012,0.008,421.0,595.0,1.01
