,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],1.207,1.543,0.013,2.841,0.044,0.031,1182.0,1115.0,1.0
b_shrinkage[1],0.373,2.214,0.001,1.132,0.05,0.035,1184.0,379.0,1.0
fixed_b[0],10.699,3.742,3.346,17.627,0.155,0.11,632.0,605.0,1.01
fixed_b[1],-0.349,0.155,-0.608,-0.013,0.005,0.004,867.0,769.0,1.0
ls,7.542,2.2,3.763,11.703,0.131,0.093,298.0,167.0,1.01
var,15.462,14.841,2.317,38.835,1.084,0.768,362.0,162.0,1.01
nu_y,3.206,1.405,1.142,5.736,0.036,0.025,1349.0,1208.0,1.0
sigma_y,1.896,0.385,1.18,2.633,0.013,0.009,801.0,1007.0,1.0
