,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],1.16,1.734,0.028,2.774,0.059,0.042,818.0,669.0,1.0
b_shrinkage[1],0.325,0.526,0.001,1.134,0.015,0.01,1065.0,866.0,1.0
fixed_b[0],10.056,3.699,2.362,16.648,0.181,0.134,450.0,498.0,1.01
fixed_b[1],-0.386,0.187,-0.68,0.028,0.01,0.007,394.0,438.0,1.01
ls,6.761,1.317,4.494,9.219,0.078,0.055,285.0,527.0,1.01
var,14.64,12.031,2.816,34.035,0.524,0.371,385.0,450.0,1.0
nu_y,0.808,0.214,0.446,1.22,0.008,0.006,516.0,187.0,1.01
sigma_y,0.6,0.208,0.262,1.004,0.009,0.006,361.0,155.0,1.01
