,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.788,1.423,0.007,2.051,0.043,0.03,318.0,234.0,1.01
b_shrinkage[1],0.303,0.893,0.0,1.126,0.025,0.017,959.0,999.0,1.01
fixed_b[0],4.129,2.309,-0.145,8.862,0.157,0.111,203.0,117.0,1.02
fixed_b[1],-0.138,0.105,-0.355,0.011,0.012,0.01,102.0,80.0,1.04
ls,13.725,13.585,0.431,39.186,1.374,0.975,42.0,26.0,1.07
var,7.141,9.758,0.172,28.343,1.441,1.025,71.0,51.0,1.05
nu_y,3.588,1.486,1.166,6.289,0.04,0.028,1376.0,1138.0,1.01
sigma_y,0.927,0.22,0.562,1.424,0.029,0.021,71.0,23.0,1.05
