,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],1.301,3.061,0.015,3.291,0.093,0.068,1278.0,1210.0,1.0
b_shrinkage[1],0.37,1.018,0.001,1.262,0.028,0.02,2309.0,1486.0,1.0
fixed_b[0],11.239,10.253,-4.835,32.031,0.299,0.223,1208.0,1197.0,1.0
fixed_b[1],-0.158,0.378,-0.933,0.499,0.012,0.008,1031.0,1387.0,1.0
ls,10.971,2.918,5.457,16.117,0.122,0.086,568.0,881.0,1.01
var,188.861,151.941,35.102,445.956,5.378,3.976,948.0,1137.0,1.0
nu_y,3.19,1.303,1.243,5.582,0.029,0.021,2074.0,1653.0,1.0
sigma_y,3.418,0.6,2.266,4.528,0.015,0.01,1647.0,1390.0,1.0
