,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.988,1.446,0.008,2.516,0.047,0.033,534.0,298.0,1.0
b_shrinkage[1],0.337,0.953,0.0,1.306,0.022,0.016,1035.0,766.0,1.0
fixed_b[0],8.037,5.971,-2.955,18.162,0.287,0.203,435.0,929.0,1.01
fixed_b[1],-0.171,0.204,-0.55,0.197,0.009,0.006,564.0,924.0,1.01
ls,14.015,3.763,7.254,20.824,0.211,0.149,315.0,703.0,1.01
var,50.074,46.963,7.212,125.942,2.324,1.709,520.0,588.0,1.01
nu_y,4.392,1.723,1.66,7.636,0.044,0.033,1660.0,1420.0,1.0
sigma_y,2.336,0.325,1.751,2.942,0.008,0.006,1509.0,1272.0,1.0
