,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.913,2.485,0.008,2.35,0.074,0.052,807.0,585.0,1.0
b_shrinkage[1],0.276,0.855,0.0,1.004,0.021,0.015,1368.0,871.0,1.0
fixed_b[0],4.147,2.523,-0.879,8.525,0.099,0.07,645.0,927.0,1.0
fixed_b[1],-0.088,0.077,-0.224,0.061,0.003,0.002,823.0,1126.0,1.0
ls,16.722,7.144,4.223,29.39,0.382,0.27,322.0,243.0,1.01
var,7.786,8.16,0.416,21.117,0.391,0.309,692.0,485.0,1.01
nu_y,2.276,0.944,0.766,4.026,0.026,0.018,825.0,401.0,1.0
sigma_y,1.262,0.299,0.733,1.814,0.01,0.007,867.0,415.0,1.0
