,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.978,1.764,0.022,2.383,0.054,0.038,1652.0,1279.0,1.01
b_shrinkage[1],0.315,0.94,0.0,1.048,0.023,0.016,1268.0,1270.0,1.0
fixed_b[0],7.12,3.664,-0.302,13.131,0.182,0.129,379.0,307.0,1.01
fixed_b[1],-0.195,0.142,-0.481,0.034,0.009,0.007,260.0,329.0,1.01
ls,11.91,5.006,4.189,20.536,0.427,0.312,183.0,282.0,1.03
var,15.116,18.47,1.513,42.87,3.374,2.612,119.0,28.0,1.03
nu_y,2.435,0.998,0.957,4.31,0.025,0.018,1481.0,1406.0,1.0
sigma_y,1.477,0.319,0.91,2.071,0.011,0.008,902.0,926.0,1.0
