,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.764,0.812,0.028,1.943,0.025,0.018,1077.0,980.0,1.0
b_shrinkage[1],0.351,1.144,0.0,1.221,0.029,0.02,1109.0,1245.0,1.0
fixed_b[0],5.107,2.138,0.886,9.063,0.12,0.098,398.0,287.0,1.01
fixed_b[1],-0.253,0.12,-0.454,0.004,0.007,0.005,366.0,174.0,1.01
ls,50.746,358.607,0.001,94.406,10.618,7.51,172.0,225.0,1.03
var,4.334,6.734,0.001,13.694,0.425,0.301,346.0,396.0,1.01
nu_y,1.885,0.698,0.696,3.124,0.017,0.012,1291.0,953.0,1.0
sigma_y,1.277,0.346,0.639,1.925,0.015,0.01,506.0,496.0,1.01
