,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.951,1.558,0.006,2.695,0.041,0.029,783.0,448.0,1.0
b_shrinkage[1],0.325,1.13,0.0,1.153,0.026,0.018,1778.0,1068.0,1.0
fixed_b[0],6.152,3.395,-0.753,11.984,0.148,0.105,537.0,570.0,1.01
fixed_b[1],-0.164,0.125,-0.422,0.05,0.006,0.004,481.0,691.0,1.01
ls,12.928,7.024,2.688,25.261,0.43,0.304,237.0,320.0,1.0
var,13.142,15.433,1.284,36.479,1.146,0.963,426.0,295.0,1.0
nu_y,3.94,1.464,1.568,6.704,0.03,0.023,2461.0,1772.0,1.0
sigma_y,1.577,0.251,1.102,2.042,0.006,0.004,1560.0,1304.0,1.0
