,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.904,1.289,0.01,2.281,0.038,0.027,1322.0,921.0,1.0
b_shrinkage[1],0.318,0.834,0.0,1.178,0.023,0.017,1644.0,1269.0,1.0
fixed_b[0],6.12,2.792,0.299,11.221,0.119,0.09,564.0,641.0,1.01
fixed_b[1],-0.122,0.129,-0.377,0.114,0.006,0.005,418.0,409.0,1.01
ls,6.407,3.624,2.328,11.608,0.262,0.186,213.0,196.0,1.01
var,10.19,8.561,1.349,22.219,0.336,0.238,784.0,921.0,1.0
nu_y,3.317,1.412,1.16,6.013,0.031,0.022,1423.0,922.0,1.0
sigma_y,1.672,0.35,1.015,2.332,0.011,0.008,1041.0,729.0,1.0
