,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.986,1.485,0.048,2.892,0.06,0.042,857.0,294.0,1.0
b_shrinkage[1],0.356,1.065,0.0,1.272,0.028,0.02,1084.0,1124.0,1.0
fixed_b[0],5.52,1.665,2.425,8.788,0.076,0.054,484.0,563.0,1.02
fixed_b[1],-0.258,0.11,-0.467,-0.03,0.005,0.004,489.0,566.0,1.01
ls,27.507,626.152,0.024,22.737,16.888,11.944,137.0,183.0,1.03
var,3.202,3.69,0.019,8.368,0.133,0.094,611.0,899.0,1.01
nu_y,2.099,0.996,0.728,3.839,0.029,0.021,994.0,1266.0,1.01
sigma_y,1.107,0.35,0.484,1.761,0.014,0.01,563.0,478.0,1.01
