,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.663,1.005,0.003,1.969,0.024,0.017,1010.0,570.0,1.0
b_shrinkage[1],0.261,0.562,0.0,0.952,0.013,0.009,1651.0,1276.0,1.0
fixed_b[0],2.877,2.262,-1.352,6.933,0.122,0.109,439.0,349.0,1.01
fixed_b[1],-0.084,0.059,-0.201,0.02,0.003,0.002,393.0,399.0,1.01
ls,34.875,58.473,0.008,93.997,2.376,1.681,73.0,75.0,1.04
var,5.686,7.786,0.003,18.834,0.375,0.265,381.0,519.0,1.01
nu_y,3.744,1.665,1.117,6.81,0.042,0.03,1541.0,1074.0,1.0
sigma_y,1.108,0.228,0.661,1.536,0.022,0.016,113.0,107.0,1.03
